slug,question,category,clarity,clarity_reasons,mid,best_ask,best_bid,spread,volume,liquidity_clob,hours_to_close,event_sub_count,resolution_source,end_date,market_id,condition_id,yes_token,no_token,yes_outcome,no_outcome,rank_score
will-trump-declare-war-on-iran-by-april-30-2026,"Will Trump declare war on Iran by April 30, 2026?",behavior,2,has description; uses 'official',0.0125,0.015,0.01,0.005,354235,27251,209.6,1,,2026-04-30T00:00:00Z,1707608,0x8ed9ef25fbd07f6447cf8677b825b333df5daf684c95cbea6570e079b952b642,18337915609156849620172944455823304573671390963539388163813140098229504454173,96600626499364189018695440018398186489690450756307363905137065589194563659166,Yes,No,9.0
will-donald-trump-announce-that-the-united-states-blockade-of-the-strait-of-hormuz-has-been-lifted-by-april-30-2026-731,"Will Donald Trump announce that the United States blockade of the Strait of Hormuz has been lifted by April 30, 2026?",behavior,2,has description; uses 'official',0.605,0.62,0.59,0.03,340273,33702,209.6,3,,2026-04-30T00:00:00Z,1961415,0xe31a6c763685129123cb6a0f729bfce04b768c5a22cb09c5610406df1a302465,52362237758244131007266450909467103020831932461982376471839200028772278583671,112200864320535558960472729310742116804661502809704946938605207241942122130498,Yes,No,9.0
us-announces-military-support-of-iran-oppostion-by-april-30,US announces military support of Iran opposition by April 30?,behavior,2,has description; uses 'official',0.032,0.037,0.027,0.01,228285,34302,209.6,1,,2026-04-30T00:00:00Z,1707593,0x98c1246f7cfc5c63ba30e7d71ce93144f56e96e374dcb0bbe36d022df8cd89e6,1567167842818009619389999003730661487645783318517085620753933899571299990303,60979702663474445095415304561334679281316269684184116144348743092258721606404,Yes,No,8.5657
white-house-of-tweets-april-17-april-24-2026-80-99,"Will White House post 80-99 posts from April 17 to April 24, 2026?",behavior,4,has resolution URL; has description; negRisk format,0.005,0.009,0.001,0.008,14100,2348,81.6,1,https://x.com/WhiteHouse,2026-04-24T16:00:00Z,1976917,0x87e9524af2200ef5220bd208d8e144f18a7138b933a06824e4da307d7a523d94,91255341712115920147475838345523162446515126370973517101796768902417208750041,55715199464751259472901515384376079484865795292866454546998168923193490259735,Yes,No,8.282
will-trump-visit-north-korea-by-april-30,Will Trump visit North Korea by April 30?,behavior,2,has description; uses 'official',0.0035,0.005,0.002,0.003,137826,16261,209.6,1,,2026-04-30T00:00:00Z,1386649,0x80ee1343459d8d47b2ce760546ea176d3924f8429ad32fd768d4bfbf8ea3dae3,18560270834047993784064289352064312009894663548047481854815090686542592580455,93200273682134791558002164377381623533810069332188054051048047965713102023554,Yes,No,6.75652
will-trump-visit-pakistan-by-april-30-143,Will Trump visit Pakistan by April 30?,behavior,2,has description; uses 'official',0.18,0.19,0.17,0.02,115792,14097,209.6,2,,2026-04-30T00:00:00Z,2008302,0xc53e7b31acb5808dc9d06785c5ada0c2dbee9ca46b3eca2ca18fc2745aa716a5,105942155422626579033279103084843442767207942750940244551384037445017527968042,73729813496682519995429532676438369547218888156132843164838151809775349287580,Yes,No,6.31584
will-trump-praise-allah-again-by-april-30,Will Trump praise Allah again by April 30?,behavior,2,has description; uses 'official',0.19,0.2,0.18,0.02,25666,18960,209.6,1,,2026-04-30T00:00:00Z,1970302,0x17af003e13cafac7012ce86bae59af936cc2304249cf63b6fc718a30dbf9e892,95494040375155386257989968108024920797620023596147861545959528903805922468689,42390708770802471687586644459883866667891784888750768929392690891311424938185,Yes,No,4.51332
trump-ballroom-project-unblocked-by-april-30,Trump ballroom project unblocked by April 30?,behavior,2,has description; uses 'official',0.011,0.015,0.007,0.008,22156,7944,209.6,1,,2026-04-30T00:00:00Z,1817695,0x6577cd461cbe4555e2a8b47e4199e2c8fe08c5ee4574a7c921e74e64c2d64035,45543657869929240537004637623420238468651853203077901190948477861469769364569,80798549741802134231141512067122912695799993151910688261090383208421854064146,Yes,No,4.44312
pete-hegseth-out-as-secretary-of-defense-by-april-30,Pete Hegseth out as Secretary of Defense by April 30?,crypto,2,has description; uses 'official',0.0265,0.027,0.026,0.001,588729,34610,209.6,1,,2026-04-30T00:00:00Z,1651389,0x3b6e28dcff1d4cfed3e169baefd383fb2ac39698d695baaf9eeb73f0e83cd6f0,17676859136871657226753099884028896193680044472567230594554723669395365655589,115339293708941779894323192808127516182133622549669627748984810719782897705721,Yes,No,9.0
deepseek-v4-released-by-april-30-896,DeepSeek V4 released by April 30?,earnings,2,has description; uses 'official',0.765,0.77,0.76,0.01,217503,17586,209.6,2,,2026-04-30T00:00:00Z,1797301,0xe5883e093e642062acb19820d91429ecd1d00ccb9011ac2f595dfd2cb8f40dc5,26167789380853684730316056161545101410802668361832215888905419607657200767,79590522112611711608014031019864017819635966124625677192209526412944623715114,Yes,No,8.35006
will-the-devil-wears-prada-2-opening-weekend-box-office-be-greater-than-100m,"Will ""The Devil Wears Prada 2"" Opening Weekend Box Office be greater than 100m?",entertainment,5,has resolution URL; has description; uses 'official'; negRisk format,0.175,0.19,0.16,0.03,19093,7642,317.6,1,https://www.the-numbers.com/,2026-05-04T12:00:00Z,1928072,0x6c2c7effd44d8f8fdbe4c21a8cff81608109832750b007d0cad2c86b75db1033,9384388782969521444101931150571121548523228237036014313966162708799047578266,91708722154527600517888575872739758124713477647665560240360868564768920082887,Yes,No,10.38186
will-michael-opening-weekend-box-office-be-greater-than-80m,"Will ""Michael"" Opening Weekend Box Office be greater than 80m?",entertainment,5,has resolution URL; has description; uses 'official'; negRisk format,0.755,0.77,0.74,0.03,15741,5746,149.6,1,https://www.the-numbers.com/,2026-04-27T12:00:00Z,1930937,0xa6476a06c1458028d5923d3e1c72d4dcd98122747f335101f3408f5c08aa22ca,83575063519652606081736180872089821200404186686957525107442990379219256668719,99274712518349106671583908865231163506573192562676785464546122967928186916998,Yes,No,10.31482
bun-mai-bay-2026-04-25-bay,Will FC Bayern München win on 2026-04-25?,other,5,has resolution URL; has description; uses 'official'; negRisk format,0.61,0.62,0.6,0.02,56997,52014,103.1,1,https://www.bundesliga.com/en/bundesliga,2026-04-25T13:30:00Z,1953328,0xb889fc590a72dac1d6078a73d97dda7adc10831237b8b8de73f58c6fb5c8478f,4679132063084290723478070155479289138913760219277562792617225238601926455535,34440214647831606209271014480792314554873955169531801789311456390182281092027,Yes,No,11.13994
fl1-tou-asm-2026-04-25-asm,Will AS Monaco FC win on 2026-04-25?,other,5,has resolution URL; has description; uses 'official'; negRisk format,0.465,0.47,0.46,0.01,45070,539711,108.7,1,https://www.ligue1.com/,2026-04-25T19:05:00Z,1953323,0x78ab7490f7151ef44386bea858393993d75d1fa7e41cc5010e2371a9f2697c13,35169978600177692488813338658779752383000336735587862067002142317794503999229,50821903273834399150871742228045925321516345505664810991427126420623253072106,Yes,No,10.9014
